,name,title,base_salary,submit_date,start_date,status,city,state,small_company
0,Emritsolutions,Analyst,49340,2019-06-19,2019-07-01,Certified,Warsaw,Indiana,True
1,Mergermarket (Us),Analyst,52740,2020-04-15,2020-09-01,Certified,New York,New York,False
2,Mergermarket (Us),Analyst,52740,2020-05-01,2020-09-01,Certified,New York,New York,False
3,Altfest Personal Wealth Management,Analyst,53000,2018-03-12,2018-09-11,Certified,New York,New York,False
4,Rizontek,Analyst,54000,2020-05-06,2020-10-01,Certified,Austin,Texas,False
5,Rizontek,Analyst,54000,2020-05-14,2020-10-01,Certified,Austin,Texas,False
6,Rizontek,Analyst,54000,2019-02-15,2019-08-17,Certified,Syracuse,New York,False
7,Noise Consulting Group,Analyst,56000,2020-05-11,2020-10-01,Certified,Waltham,Massachusetts,True
8,Rizontek,Analyst,56000,2019-02-14,2019-08-16,Certified,Austin,Texas,False
9,Turnberry Solutions,Analyst,56020,2019-11-05,2020-01-01,Certified,Malvern,Pennsylvania,False
10,Turnberry Solutions,Analyst,56600,2020-09-03,2021-01-01,Certified,Malvern,Pennsylvania,False
11,Pride Technologies,Analyst,58500,2020-04-20,2020-10-01,Certified,New York,New York,True
12,Datasync,Analyst,60140,2020-09-14,2020-10-01,Certified,Cary,North Carolina,False
13,Elixir Technical Consulting,Analyst,61700,2019-03-29,2019-09-15,Certified,Boston,Massachusetts,True
14,Rizontek,Analyst,62000,2019-05-13,2019-05-20,Certified,Sacramento,California,False
15,Business Intelligence Systems,Analyst,65000,2018-03-23,2018-09-20,Certified,Plano,Texas,False
16,Noise Consulting Group,Analyst,66000,2020-06-01,2020-10-01,Certified,Waltham,Massachusetts,True
17,Kelly Services,Analyst,66000,2019-03-08,2019-09-03,Certified,Allen Park,Michigan,False
18,Kelly Services,Analyst,66000,2018-03-21,2018-09-17,Certified,Allen Park,Michigan,False
19,Discovery Wholesale,Analyst,66900,2020-07-10,2020-07-30,Certified,Cypress,Texas,True
20,Flat World Partners,Analyst,67000,2018-03-22,2018-09-21,Certified,New York,New York,True
